2024-12-24 02:22:22,767 - WARNING - Attempt 1 failed, retrying in 1 seconds
2024-12-24 02:23:53,445 - WARNING - Attempt 1 failed, retrying in 1 seconds
2024-12-24 02:23:54,448 - WARNING - Attempt 2 failed, retrying in 2 seconds
2024-12-24 02:23:56,451 - ERROR - Failed to initialize database connections: name 'connection_pool' is used prior to global declaration (auth_utils.py, line 83)
2024-12-24 02:33:47,149 - WARNING - Attempt 1 failed, retrying in 1 seconds
2024-12-24 02:33:48,151 - WARNING - Attempt 2 failed, retrying in 2 seconds
2024-12-24 02:33:50,153 - ERROR - Failed to initialize database connections: name 'connection_pool' is used prior to global declaration (auth_utils.py, line 83)
2024-12-24 21:54:03,423 - WARNING - Attempt 1 failed, retrying in 1 seconds
2024-12-24 21:54:03,424 - WARNING - Attempt 1 failed, retrying in 1 seconds
2024-12-24 21:54:04,425 - WARNING - Attempt 2 failed, retrying in 2 seconds
2024-12-24 21:54:04,427 - WARNING - Attempt 2 failed, retrying in 2 seconds
2024-12-24 21:54:06,427 - ERROR - Failed to initialize database connections: name 'connection_pool' is used prior to global declaration (auth_utils.py, line 83)
2024-12-24 21:54:06,430 - ERROR - Failed to initialize database connections: name 'connection_pool' is used prior to global declaration (auth_utils.py, line 83)
2024-12-24 21:56:42,381 - WARNING - Attempt 1 failed, retrying in 1 seconds
2024-12-24 21:56:43,388 - WARNING - Attempt 2 failed, retrying in 2 seconds
2024-12-24 21:56:45,399 - ERROR - Failed to initialize database connections: name 'connection_pool' is used prior to global declaration (data_manager.py, line 122)
2024-12-24 21:56:48,020 - WARNING - Attempt 1 failed, retrying in 1 seconds
2024-12-24 21:56:49,025 - WARNING - Attempt 2 failed, retrying in 2 seconds
2024-12-24 21:56:49,563 - WARNING - Attempt 1 failed, retrying in 1 seconds
2024-12-24 21:56:50,568 - WARNING - Attempt 2 failed, retrying in 2 seconds
2024-12-24 21:56:51,029 - ERROR - Failed to initialize database connections: name 'connection_pool' is used prior to global declaration (data_manager.py, line 122)
2024-12-24 21:56:52,572 - ERROR - Failed to initialize database connections: name 'connection_pool' is used prior to global declaration (data_manager.py, line 122)
2024-12-24 21:58:05,337 - WARNING - Attempt 1 failed, retrying in 1 seconds
2024-12-24 21:58:06,342 - WARNING - Attempt 2 failed, retrying in 2 seconds
2024-12-24 21:58:08,346 - ERROR - Failed to initialize database connections: name 'connection_pool' is used prior to global declaration (data_manager.py, line 122)
2024-12-24 22:00:17,482 - WARNING - Attempt 1 failed, retrying in 1 seconds
2024-12-24 22:00:18,487 - WARNING - Attempt 2 failed, retrying in 2 seconds
2024-12-24 22:00:20,492 - ERROR - Failed to initialize database connections: name 'connection_pool' is used prior to global declaration (data_manager.py, line 122)
2024-12-24 22:01:00,780 - WARNING - Attempt 1 failed, retrying in 1 seconds
2024-12-24 22:01:01,785 - WARNING - Attempt 2 failed, retrying in 2 seconds
2024-12-24 22:01:03,790 - ERROR - Failed to initialize database connections: name 'connection_pool' is used prior to global declaration (data_manager.py, line 122)
2024-12-24 22:01:53,186 - WARNING - Attempt 1 failed, retrying in 1 seconds
2024-12-24 22:01:54,191 - WARNING - Attempt 2 failed, retrying in 2 seconds
2024-12-24 22:01:56,195 - ERROR - Failed to initialize database connections: name 'connection_pool' is used prior to global declaration (data_manager.py, line 122)
2024-12-24 22:04:05,673 - WARNING - Attempt 1 failed, retrying in 1 seconds
2024-12-24 22:04:06,678 - WARNING - Attempt 2 failed, retrying in 2 seconds
2024-12-24 22:04:08,682 - ERROR - Failed to initialize database connections: name 'connection_pool' is used prior to global declaration (data_manager.py, line 120)
2024-12-24 22:04:12,730 - WARNING - Attempt 1 failed, retrying in 1 seconds
2024-12-24 22:04:12,841 - WARNING - Attempt 1 failed, retrying in 1 seconds
2024-12-24 22:04:13,735 - WARNING - Attempt 2 failed, retrying in 2 seconds
2024-12-24 22:04:13,845 - WARNING - Attempt 2 failed, retrying in 2 seconds
2024-12-24 22:04:14,747 - WARNING - Attempt 1 failed, retrying in 1 seconds
2024-12-24 22:04:15,740 - ERROR - Failed to initialize database connections: name 'connection_pool' is used prior to global declaration (data_manager.py, line 120)
2024-12-24 22:04:15,752 - WARNING - Attempt 2 failed, retrying in 2 seconds
2024-12-24 22:04:15,850 - ERROR - Failed to initialize database connections: name 'connection_pool' is used prior to global declaration (data_manager.py, line 120)
2024-12-24 22:04:17,756 - ERROR - Failed to initialize database connections: name 'connection_pool' is used prior to global declaration (data_manager.py, line 120)
2024-12-24 22:46:29,689 - main - INFO - Successfully imported core libraries
2024-12-24 22:46:30,226 - auth_utils - INFO - Successfully imported all required libraries
